stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5001,,"Lido (S.M.E.) ""B""",,45.417992,12.368725,,,,,,
5002,,"Lido (S.M.E.) ""C"" dir. Ve",,45.417683,12.368217,,,,,,
5003,,"Lido (S.M.E.) ""D""",,45.417480,12.367735,,,,,,
5004,,S. Elena DX,,45.425320,12.360782,,,,,,
5005,,S. Elena SX,,45.425426,12.360565,,,,,,
5006,,Giardini Biennale SX,,45.429047,12.355934,,,,,,
5007,,Giardini SX,,45.429848,12.354835,,,,,,
5008,,Arsenale DX,,45.432774,12.348552,,,,,,
5009,,"S. Zaccaria (Pieta') ""A""",,45.433395,12.344964,,,,,,
5010,,Fusina,,45.418373,12.258713,,,,,,
5011,,"S. Zaccaria (Jolanda) ""D""",,45.433456,12.342809,,,,,,
5012,,"S. Zaccaria (Jolanda) ""C""",,45.433491,12.343048,,,,,,
5013,,"S. Zaccaria (Danieli) ""F""",,45.433342,12.342007,,,,,,
5014,,"S. Zaccaria (Danieli) ""E""",,45.433384,12.342215,,,,,,
5015,,S. Marta,,45.433571,12.311260,,,,,,
5017,,Caroman,,45.243614,12.294001,,,,,,
5018,,Certosa,,45.430897,12.367321,,,,,,
5019,,Celestia,,45.439079,12.349658,,,,,,
5020,,Ospedale,,45.440880,12.344753,,,,,,
5021,,S. Giorgio,,45.429470,12.342235,,,,,,
5022,,Giudecca Palanca SX,,45.426849,12.325638,,,,,,
5023,,Sacca Fisola DX,,45.429008,12.315648,,,,,,
5024,,Tronchetto 'B' SX,,45.440094,12.306348,,,,,,
5025,,Tronchetto 'B'  DX,,45.440308,12.306533,,,,,,
5026,,Tronchetto N/T,,45.438023,12.303988,,,,,,
5027,,"P.le Roma (Scomenzera) ""C",,45.439850,12.317839,,,,,,
5028,,"P.le Roma (Parisi) ""E""",,45.439388,12.318463,,,,,,
5029,,"P.le Roma (Parisi) ""D""",,45.439556,12.318337,,,,,,
5030,,"P.le Roma (S. Chiara) ""F""",,45.438923,12.318830,,,,,,
5031,,"P.le Roma (S. Chiara) ""G""",,45.438816,12.319038,,,,,,
5032,,"Ferrovia ""B""",,45.440937,12.322042,,,,,,
5033,,"Ferrovia ""A""",,45.441017,12.322206,,,,,,
5034,,Riva de Biasio SX,,45.441998,12.325667,,,,,,
5035,,S. Marcuola-Casino' DX,,45.442444,12.328820,,,,,,
5036,,San Stae,,45.441746,12.330798,,,,,,
5037,,Ca' D'Oro,,45.440563,12.333899,,,,,,
5038,,"Rialto ""D""",,45.437584,12.335558,,,,,,
5039,,"Rialto ""C""",,45.437428,12.335405,,,,,,
5040,,"Rialto ""B""",,45.437088,12.334779,,,,,,
5041,,S. Silvestro,,45.436810,12.333188,,,,,,
5042,,S. Angelo,,45.435596,12.330350,,,,,,
5043,,S. Toma' SX,,45.435184,12.327917,,,,,,
5044,,S. Toma' DX,,45.435249,12.328128,,,,,,
5045,,Ca' Rezzonico,,45.433285,12.327133,,,,,,
5046,,S. Samuele,,45.433479,12.327600,,,,,,
5047,,Accademia SX,,45.431633,12.328705,,,,,,
5048,,Accademia DX,,45.431736,12.328523,,,,,,
5049,,Zattere SX,,45.429260,12.326280,,,,,,
5050,,Zattere DX,,45.429153,12.326800,,,,,,
5051,,S. Maria del Giglio,,45.431431,12.332637,,,,,,
5052,,Salute,,45.431171,12.334374,,,,,,
5053,,S. Marco (Vallaresso) SX,,45.432125,12.337271,,,,,,
5054,,S. Marco (Vallaresso) DX,,45.432186,12.337525,,,,,,
5056,,S. Marco (Giardinetti) DX,,45.432487,12.338417,,,,,,
5058,,Madonna dell'Orto,,45.447674,12.332901,,,,,,
5059,,S. Alvise,,45.448704,12.329509,,,,,,
5060,,"F.te Nove ""C""",,45.443146,12.340932,,,,,,
5061,,"F.te Nove ""B""",,45.443138,12.340671,,,,,,
5062,,Cimitero S. Michele,,45.448673,12.345977,,,,,,
5063,,"Murano Colonna ""A""",,45.451107,12.349192,,,,,,
5064,,Murano Navagero,,45.454693,12.356580,,,,,,
5065,,Murano Museo DX,,45.456104,12.355435,,,,,,
5066,,Murano Venier,,45.457447,12.351191,,,,,,
5067,,Murano Serenella,,45.454853,12.347479,,,,,,
5068,,Burano DX per Treporti,,45.487602,12.416217,,,,,,
5069,,Treporti,,45.471558,12.447123,,,,,,
5070,,Punta Sabbioni SX,,45.447639,12.424682,,,,,,
5071,,Ferrovia (Bar Roma),,45.441292,12.322843,,,,,,
5072,,Chioggia P.tta Vigo,,45.223690,12.280678,,,,,,
